################################################################
# MalwareBazaar Code Signing Certificate Blocklist (CSCB)      #
# Last updated: 2022-06-17 10:40:02 UTC                        #
#                                                              #
# Terms Of Use: https://bazaar.abuse.ch/faq/#tos               #
# For questions please contact bazaar [at] abuse.ch            #
################################################################
#
# "time_stamp_utc","serial_number","thumbprint","thumbprint_algorithm","subject_cn","issuer_cn","valid_from","valid_to","Reason"
"2022-04-15 09:18:57", "da156922f4760e0c5f5bcf79812a27e1", "6e19e012f55e0bb44e9036d4445ab945942965dcb81b9ed24ad6fc17933c4fce", "SHA256", "DRINK AND BUBBLE LTD", "Sectigo Public Code Signing CA R36", "2022-04-05T00:00:00Z", "2023-04-05T23:59:59Z", "Quakbot"
"2022-04-14 13:58:17", "5226a724cfa0b4bc0164ecda3f02a3dc", "92f005b9c46c7993205d9451823cf0410d1afbd7056a7dcdfa2b8b3da74ee1bf", "SHA256", "VALENTE SP Z O O", "Sectigo Public Code Signing CA R36", "2022-03-15T00:00:00Z", "2023-03-15T23:59:59Z", "Quakbot"
"2022-04-12 12:06:56", "121070be1e782f206985543bc7bc58b6", "a4534aff03258589a2622398d1904d3bfd264c37e8649a68136f8d552f8b738f", "SHA256", "Prod Can Holdings Inc.", "Sectigo Public Code Signing CA R36", "2022-03-21T00:00:00Z", "2023-03-21T23:59:59Z", "Quakbot"
"2022-04-12 12:06:48", "15c21dab7f4e644e4b35c4858004d8a9", "34a9cd401a5a86c5194954df3a497094c01b6603264aab5cf7d9b3c4a0074801", "SHA256", "P.REGO, s.r.o.", "Sectigo Public Code Signing CA R36", "2022-04-06T00:00:00Z", "2023-04-06T23:59:59Z", "Quakbot"
"2022-04-11 18:01:32", "101d6a5a29d9a77807553ceac669d853", "cd6aa9a7a4898e42b8361dc3542d0afb72e6deefc0b85ebfb55d282a2982b994", "SHA256", "BIC GROUP LIMITED", "Sectigo Public Code Signing CA R36", "2022-03-04T00:00:00Z", "2023-03-04T23:59:59Z", "IcedID"
"2022-04-06 15:34:32", "4679c5398a279318365fd77a84445699", "8fcef52c16987307f4e1f7d4b62304c65aedb952c90bb2ead8321f1e1d7c9a6e", "SHA256", "HURT GROUP HOLDINGS LIMITED", "Sectigo Public Code Signing CA R36", "2022-02-03T00:00:00Z", "2023-02-03T23:59:59Z", "Quakbot"
"2022-03-15 13:42:43", "282a8a04073eced658b9770bda8c0d28", "5cd4832101eb4f173c43986d5711087c8de25e6fcaef2f333e98a013e29b8373", "SHA256", "OOO Betamaynd", "Sectigo Public Code Signing CA R36", "2021-07-22T00:00:00Z", "2022-07-22T23:59:59Z", "RedLineStealer"
"2022-03-10 09:09:52", "0c48732873ac8ccebaf8f0e1e8329cec", "14ffc96c8cc2ea2d732ed75c3093d20187a4c72d02654ff4520448ba7f8c7df6", "SHA256", "Hermetica Digital Ltd", "DigiCert EV Code Signing CA (SHA2)", "2021-04-13T00:00:00Z", "2022-04-14T23:59:59Z", "HermeticWiper"
"2022-03-06 08:31:24", "43bb437d609866286dd839e1d00309f5", "21c13d0a5037ebb97eb9ae094d8d5839b4bc9bba751c848064c82ec3a42a3134", "SHA256", "NVIDIA Corporation", "VeriSign Class 3 Code Signing 2010 CA", "2011-09-02T00:00:00Z", "2014-09-01T23:59:59Z", "QuasarRAT"
"2022-03-03 09:08:41", "da20761afbb0463c55b1ea88bbc7ec57", "f12dd6e77ffab75870b24dd5bfda5a360843f9e5591e764be9f0a2ac59a710d3", "SHA256", "CLEVER CLOSE s.r.o.", "Sectigo Public Code Signing CA R36", "2022-01-18T00:00:00Z", "2023-01-18T23:59:59Z", "Quakbot"
"2022-03-02 13:25:23", "c51f4cf4d82bc920421e1ad93e39d490", "d17dc7ef018e13b9a482b60871e25447fb1ae724dfe69b5287dce6b9b78d84a9", "SHA256", "CUT AHEAD LTD", "Sectigo Public Code Signing CA R36", "2022-02-12T00:00:00Z", "2023-02-12T23:59:59Z", "Quakbot"
"2022-02-28 14:46:12", "69a72f5591ad78a0825fbb9402ab9543", "42a6612f4c652b521435989b5f044403649fef6db4fb476f3c4d981dc2f9bdf8", "SHA256", "PUSH BANK LIMITED", "Sectigo Public Code Signing CA R36", "2022-02-16T00:00:00Z", "2023-02-16T23:59:59Z", "Quakbot"
"2022-02-22 12:36:58", "8cece6df54cf6ad63596546d77ba3581", "1a9ff8aba1b24e3bd06442ac6d593ff224b685cba4edef79e740f569ab453161", "SHA256", "Mikael LLC", "Sectigo RSA Code Signing CA", "2021-02-12T00:00:00Z", "2022-02-12T23:59:59Z", "Malware"
"2022-02-22 12:36:54", "db95b22362d46a73c39e0ac924883c5b", "751a7e6c4dbe6e7ca633b91515c9f620bff6314ce09969a3af26d18945dc43b5", "SHA256", "SPSLTD PLYMOUTH LTD", "Sectigo RSA Code Signing CA", "2021-05-18T00:00:00Z", "2022-05-18T23:59:59Z", "Smoke Loader"
"2022-02-15 08:34:27", "d3aee8abb9948844a3ac1c04cc7e6bdf", "e386450257e170981513b7001a82fb029f0931e5c2f11c6d9b86660da0b89a66", "SHA256", "HOUSE 9A s.r.o", "Sectigo Public Code Signing CA R36", "2021-12-30T00:00:00Z", "2022-12-30T23:59:59Z", "Quakbot"
"2022-02-14 16:38:28", "6000f8c02b0a15b1e53b8399845faddf", "6f18caa7cd75582d3a311dcc2dadec2ed32e15261c1dc5c9471e213d28367362", "SHA256", "SAY LIMITED", "Sectigo Public Code Signing CA R36", "2022-02-08T00:00:00Z", "2023-02-08T23:59:59Z", "Amadey"
"2022-02-09 16:22:55", "f6ad45188e5566aa317be23b4b8b2c2f", "ae7db8b64e8abd9d36876f049b9770d90c0868d7fe1a2d37cf327df69fa2dbfe", "SHA256", "Gary Kramlich", "Sectigo RSA Code Signing CA", "2021-03-22T00:00:00Z", "2024-03-21T23:59:59Z", "Numando"
"2022-02-07 08:33:02", "74fc9257bc86f8c618501695ad4b1606", "8ebbb2ab8f2e1366d0137e5026e07fde229f45f39d043c7ad36091b8eb2a923e", "SHA256", "169Teaco Limited", "Sectigo Public Code Signing CA R36", "2021-09-28T00:00:00Z", "2022-09-28T23:59:59Z", "ParallaxRAT"
"2022-02-02 09:11:15", "3b0914e2982be8980aa23f49848555e5", "254e59ea93fa5f2a6af44f9631660f7b6cca4b4c9f97046405bcfed5589a32fa", "SHA256", "Office Rat s.r.o.", "Sectigo Public Code Signing CA R36", "2022-01-26T00:00:00Z", "2023-01-26T23:59:59Z", "ParallaxRAT"
"2022-01-31 04:02:09", "205483936f360924e8d2a4eb6d3a9f31", "44daf53d607937f410c3d300100399514d0ee5b03487e7ead16dfe324d2c5563", "SHA256", "SATURN CONSULTANCY LTD", "Sectigo Public Code Signing CA R36", "2021-12-02T00:00:00Z", "2022-12-02T23:59:59Z", "Matanbuchus"
"2022-01-28 21:00:31", "029bf7e1cb09fe277564bd27c267de5a", "2b18684a4b1348bf78f6d58d3397ee5ca80610d1c39b243c844e08f1c1e0b4bf", "SHA256", "SAMOYAJ LIMITED", "Sectigo Public Code Signing CA R36", "2021-11-24T00:00:00Z", "2022-11-24T23:59:59Z", "Lazarus"
"2022-01-26 13:58:22", "984e84cfe362e278f558e2c70aaafac2", "0b2d1dad72c69644f80ad871743878b5eb1e45e451d0d2c9579bdf81384f8727", "SHA256", "Arctic Nights Äkäslompolo Oy", "Sectigo Public Code Signing CA R36", "2021-12-24T00:00:00Z", "2022-12-24T23:59:59Z", "Quakbot"
"2022-01-24 15:48:41", "45245eef53fcf38169c715cf68f44452", "ad7edb1b0a6a1ee3297a8825aff090030142dce8b59b9261bc57ca86666b0cbe", "SHA256", "PAPER AND CORE SUPPLIES LTD", "Sectigo Public Code Signing CA R36", "2021-12-20T00:00:00Z", "2022-12-20T23:59:59Z", "QuakBot"
"2022-01-20 11:24:41", "0406c4a1521a38c8d0c4aa214388e4dc", "7d6dc731d94c9aaf241f3df940ce8ca8393380b12f92e872273ae747c5d4791f", "SHA256", "Venezia Design SRL", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2022-01-11T00:00:00Z", "2023-01-11T23:59:59Z", "IcedID"
"2022-01-13 13:46:37", "5ef27fc51ee80b30430947c9967db440", "c2dcc4a1ea16e45f86828e81eda20f83e70cbf77e152ddd80b1b4a730ef77551", "SHA256", "AMCERT,LLC", "Sectigo Public Code Signing CA R36", "2021-11-30T00:00:00Z", "2022-11-30T23:59:59Z", "RedLineStealer"
"2022-01-03 17:12:01", "06bcb74291d96096577bdb1e165dce85", "8580fc689c62644b6df809491a210228756522c1074c98ebecf1d08fe4f9bf7a", "SHA256", "Revo Security SRL", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-11-27T00:00:00Z", "2022-11-24T23:59:59Z", "IcedID"
"2022-01-03 07:47:20", "15c5af15afecf1c900cbab0ca9165629", "19c60573c2890fad5fc96d3a9171959aef1c2dcc367ebd2dd27fc33d22976ad8", "SHA256", "Kompaniya Auttek", "Sectigo RSA Code Signing CA", "2020-03-20T00:00:00Z", "2021-03-20T23:59:59Z", "NetSupport"
"2021-12-29 17:44:03", "0690ee21e99b1cb3b599bba7b9262cdc", "eaab14a49c761096c973b4cc4b2cf6257ae5de58ba11dfaa7fcb85fa05980a54", "SHA256", "Xiamen Tongbu Networks Ltd.", "Sectigo RSA Code Signing CA", "2019-06-20T00:00:00Z", "2022-06-19T23:59:59Z", "AveMariaRAT"
"2021-12-29 17:44:00", "e55be88ddbd93c423220468d430905dd", "fa270d62733eb2f9565399b9f468341792adcdcb0024a4ad03a3531cb7496195", "SHA256", "VALVE ACTUATION LTD", "Sectigo Public Code Signing CA R36", "2021-11-24T00:00:00Z", "2022-11-24T23:59:59Z", "AveMariaRAT"
"2021-12-28 07:35:44", "aa1d84779792b57f91fe7a4bde041942", "7f685da41300dc815b00bc7fefe90a4d7355a66793d3f4969993ffe3cdb2c573", "SHA256", "AXIUM NORTHWESTERN HYDRO INC.", "Sectigo Public Code Signing CA R36", "2021-12-19T00:00:00Z", "2022-12-19T23:59:59Z", "Quakbot"
"2021-12-25 11:57:51", "34d42e871ddb1c92fa20b55b384e1259", "518b2dfe026f7b08ea54068ee1f650c692f66f07224e115e9f44fa846be9d549", "SHA256", "VENS CORP", "Sectigo Public Code Signing CA R36", "2021-08-31T00:00:00Z", "2022-08-31T23:59:59Z", "Karma"
"2021-12-24 22:37:22", "425dc3e0ca8bcdce19d00d87e3f0ba28", "7b45852afc9762de3d780882827ae8061e3344c624fae120d75f4c175b31e54a", "SHA256", "Protover LLC", "Sectigo RSA Code Signing CA", "2021-05-25T00:00:00Z", "2022-05-25T23:59:59Z", "Quakbot"
"2021-12-23 15:01:21", "c8442a8185082ef1ed7dc3fff2176aa7", "56dd56e92fb24448b3917fc377fda5d321cee95d98ac7fa021bb0c941b18f43e", "SHA256", "Ambidekstr LLC", "Sectigo RSA Code Signing CA", "2021-03-29T00:00:00Z", "2022-03-29T23:59:59Z", "Quakbot"
"2021-12-21 17:11:24", "435abf46053a0a445c54217a8c233a7f", "374b715f76f209002cf342f1ecb1011ad6ec43a496f992966b7c2f018e8e66de", "SHA256", "OOO Kodemika", "Sectigo RSA Code Signing CA", "2021-03-29T00:00:00Z", "2022-03-29T23:59:59Z", "Quakbot"
"2021-12-21 08:45:40", "e953ada7e8f1438e5f7680ff599ae43e", "365d132ec50e8155eac39de96b3acf3510e1890024b9bd7ae4e16aa3e7a270da", "SHA256", "KULBYT LLC", "Sectigo RSA Code Signing CA", "2021-03-03T00:00:00Z", "2022-03-03T23:59:59Z", "Quakbot"
"2021-12-17 15:39:54", "2aaa455a172f7e3a2dffb5c6b14f9c16", "6573e916e382098a662b8a1451c1864dfad5e11a5b085f02bed6d941ea307760", "SHA256", "DREAM VILLAGE s.r.o.", "Sectigo Public Code Signing CA R36", "2021-12-14T00:00:00Z", "2022-12-14T23:59:59Z", "ParallaxRAT"
"2021-12-16 08:45:58", "881573fc67ff7395dde5bccfbce5b088", "df5d988687c98539b5dde0198703793715182fe3955f589bc86a5eab81f03b3a", "SHA256", "Trade in Brasil s.r.o.", "Sectigo RSA Code Signing CA", "2021-05-03T00:00:00Z", "2022-05-03T23:59:59Z", "Quakbot"
"2021-12-15 11:14:22", "0218ebfd5a9bfd55d2f661f0d18d1d71", "48b52b78e4946b1adf582502c496cf58f9714f9258e8eb9bbb42d0060069ce1b", "SHA256", "REI LUX UK LIMITED", "Sectigo RSA Code Signing CA", "2020-12-21T00:00:00Z", "2021-12-21T23:59:59Z", "Cobalt Strike"
"2021-12-14 16:51:42", "b2f9c693a2e6634565f63c79b01dd8f8", "2bea432f11e4bae20391c7dfdb815efc4a06e6807cc586798efc81e0a069973f", "SHA256", "PHL E STATE ApS", "Sectigo RSA Code Signing CA", "2021-05-03T00:00:00Z", "2022-05-03T23:59:59Z", "Quakbot"
"2021-12-13 19:21:27", "a918455c0d4da7ca474f41f11a7cf38c", "dcacf36f358c95b487f3674d866f9b7dc121d294f77485f8d35cc2bebdfec2ef", "SHA256", "MIDDRA INTERNATIONAL CORP.", "Sectigo RSA Code Signing CA", "2021-04-21T00:00:00Z", "2022-04-21T23:59:59Z", "Quakbot"
"2021-12-12 07:28:13", "1ef6392b2993a6f67578299659467ea8", "eeae3f53dc1e149f1b3943a360c28c4c54c77ce959babfe7a4c7b0f9f94f64b2", "SHA256", "ALUSEN d. o. o.", "TrustOcean Organization Software Vendor CA", "2021-04-16T00:00:00Z", "2022-04-16T23:59:59Z", "Matanbuchus"
"2021-12-09 19:25:16", "292eb1133507f42e6f36c5549c189d5e", "83d79f4f982877ca0c54e96e1889ded622ef918a82404e6134b8207ff2a65692", "SHA256", "Affairs-case s.r.o.", "Sectigo Public Code Signing CA R36", "2021-12-06T00:00:00Z", "2022-12-06T23:59:59Z", "ParallaxRAT"
"2021-12-09 07:00:33", "936bc256d2057ca9b9ec3034c3ed0ee6", "5fd0c91067a466db712b3d130352cf9c6780a82ae0c2d70abe53a8a3d3ebf12f", "SHA256", "SALES & MAINTENANCE LIMITED", "TrustOcean Organization Software Vendor CA", "2021-03-28T00:00:00Z", "2022-03-28T23:59:59Z", "Quakbot"
"2021-12-09 06:59:39", "afe8fee94b41422e01e4897bcd52d0a4", "47ab61481d0363c85c35a9aa031d1c4c98ad11c12d1d64e54c189ba4972f56cb", "SHA256", "TLGM ApS", "Sectigo RSA Code Signing CA", "2021-03-30T00:00:00Z", "2022-03-30T23:59:59Z", "Quakbot"
"2021-12-08 06:59:18", "0f007898afcba5f8af8ae65d01803617", "4d920ff445f7dc174a127863717e8b3dbae35c3362b38c06b4b98b1cd9a37c08", "SHA256", "TechnoElek s.r.o.", "DigiCert EV Code Signing CA (SHA2)", "2021-04-14T00:00:00Z", "2022-04-11T23:59:59Z", "BitRAT"
"2021-12-07 11:50:00", "5fbf16a33d26390a15f046c310030cf0", "2dd9f7184668e5ae623df2da34f529629725f1751d788cb909b3f4f8840ed803", "SHA256", "MACHINES SATU MARE SRL", "Sectigo RSA Code Signing CA", "2021-05-27T00:00:00Z", "2022-05-27T23:59:59Z", "Cobalt Strike"
"2021-12-04 10:39:27", "f454f2fdc800b3454059d8889bd73d67", "83bc248b3171ee1cf7bea505dc06f7d80b97cb09d7c71d803fd6eea9581fb1d0", "SHA256", "BEAUTY CORP SRL", "Sectigo RSA Code Signing CA", "2021-05-25T00:00:00Z", "2024-05-24T23:59:59Z", "TA505"
"2021-12-04 10:39:24", "3afe693728f8406054a613f6736f89e3", "5e139f890182c363953c3b23f90903ba015da7f251e05d8772df12aeaa127f40", "SHA256", "ROB ALDERMAN FITNESS LIMITED", "Sectigo RSA Code Signing CA", "2020-08-07T00:00:00Z", "2023-08-07T23:59:59Z", "TA505"
"2021-12-02 15:06:58", "c318d876768258a696ab9dd825e27acd", "557d79b8554a79951250bd63251273c7e2f9e8817f6f71322419d8d02e05af75", "SHA256", "OOO Genezis", "Sectigo RSA Code Signing CA", "2021-03-08T00:00:00Z", "2022-03-08T23:59:59Z", "Quakbot"
"2021-11-29 08:42:06", "2d8cfcf04209dc7f771d8d18e462c35a", "b285167fc4c4497fc1b04716d32f7a4cf3778d71c5f6624621f76cd30dfc8e8e", "SHA256", "AA PLUS INVEST d.o.o.", "Sectigo Public Code Signing CA R36", "2021-09-13T00:00:00Z", "2022-09-13T23:59:59Z", "NetWire"
"2021-11-25 13:46:52", "3d3fc30099d6c7aeb806d4181992af90", "1f893c08ce7915d76394082dd884a6771493247b9169b6579aed99f8606ad484", "SHA256", "Baltic Auto SIA", "Sectigo Public Code Signing CA EV R36", "2021-09-02T00:00:00Z", "2022-09-02T23:59:59Z", "Gozi"
"2021-11-24 17:55:47", "06df5c318759d6ea9d090bfb2faf1d94", "301a4335992e383c9ddba38af9645f72f6d3c0c1de56b92451dbf14ad70c77e6", "SHA256", "SpiffyTech Inc.", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-10-18T00:00:00Z", "2022-10-05T23:59:59Z", "Hive"
"2021-09-15 15:37:13", "072472f2386f4608a0790da2be8a48f7", "fd7ef46ac5c97813cb7f6d16e006a1febaa9e11bd7f414dcba0fb047b1bef09f", "SHA256", "FOXIT SOFTWARE INC.", "DigiCert EV Code Signing CA (SHA2)", "2020-09-07T00:00:00Z", "2022-05-19T12:00:00Z", "RedLineStealer"
"2021-09-15 15:36:57", "060d94e2ccae84536654d9daf39fef1e", "3125fa32213240e376c6a21ca5631d4056d8307f0aedc3ec5e6d3c71c69b7221", "SHA256", "HasCred ApS", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-08-03T00:00:00Z", "2022-08-02T23:59:59Z", "CobaltStrike"
"2021-09-15 15:36:54", "0bc9b800f480691bd6b60963466b0c75", "1a969ab1408c6de5689ece63e3200ac2d5cf7ae2e811c6756e3f39578a45053e", "SHA256", "HasCred ApS", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-08-17T00:00:00Z", "2022-08-02T23:59:59Z", "CobaltStrike"
"2021-09-13 20:07:24", "6aaa62208a3a78bfac1443007d031e61", "e0b4e0146cef64385a2635611ccc0d7b3c7f8a126dfedf7f491d677b4a896d65", "SHA256", "Solar LLC", "Sectigo RSA Code Signing CA", "2020-12-17T00:00:00Z", "2021-12-17T23:59:59Z", "ElysiumStealer"
"2021-09-10 05:33:52", "7ebcb54b7e0e6410b28610de0743d4dd", "63aa71d0e459d85f42d2defea2a4d96ba93959665f266d339193977b7dde1e25", "SHA256", "SIA "MWorx"", "Sectigo Public Code Signing CA EV R36", "2021-07-07T00:00:00Z", "2022-07-07T23:59:59Z", "Gozi"
"2021-09-10 05:33:25", "37a67cf754ee5ae284b4cf8b9d651604", "4cf43525a4aba3b5fb3c6fae7323dea509aac73724b4a547414e56c8aa2eacf8", "SHA256", "FORTH PROPERTY LTD", "Sectigo RSA Code Signing CA", "2021-04-02T00:00:00Z", "2022-04-02T23:59:59Z", "Gozi"
"2021-09-10 05:14:00", "239664c12baeb5a6d787912888051392", "9e0611728595a506cc2a55486fdd88eca0971ef0b08f74cb3b3b6f5f6f3c7e27", "SHA256", "FORTH PROPERTY LTD", "Sectigo RSA Code Signing CA", "2021-04-13T00:00:00Z", "2022-04-13T23:59:59Z", "Gozi"
"2021-09-06 12:24:28", "28c57df09ce7cc3fde2243beb4d00101", "52aff2b104a0adea835d0f4765ea4cf5f20c794bf859e4c9c1481122365ac20b", "SHA256", "WATER, s.r.o.", "Sectigo Public Code Signing CA R36", "2021-06-03T00:00:00Z", "2022-06-03T23:59:59Z", "ParallaxRAT"
"2021-08-31 09:00:03", "54c793d2224bdd6ca527bb2b7b9dfe9d", "95b04eaf3ebdef5f7475e2fdebccd42a7a4869eb89b8e2ce2484af5225ea04b2", "SHA256", "CODE - HANDLE, s. r. o.", "Sectigo Public Code Signing CA R36", "2021-08-23T00:00:00Z", "2022-08-23T23:59:59Z", "RaccoonStealer"
"2021-08-30 11:53:16", "69ad1e8b5941c93d5017b7c3fdb8e7b6", "999bbf99f3b3c1a894340918d8f2c6a358e7ec6299bab5d8fd6b9e7570abf929", "SHA256", "Afia Wave Enterprises Oy", "Sectigo Public Code Signing CA R36", "2021-07-08T00:00:00Z", "2022-07-08T23:59:59Z", "Malware"
"2021-08-26 14:51:19", "2782171dabf21dbb7c0a155c38bc1ffb", "3bb2dd50469f7023a23b176ea6edd1d8ec27bb9b6a77a7031a05c11611b55db4", "SHA256", "Bauder Ltd", "Certum Extended Validation Code Signing 2021 CA", "2021-06-17T05:26:30Z", "2022-06-17T05:26:30Z", "LockScreen"
"2021-08-25 18:17:23", "bfcea72a7a44662e74e77163bd89c2aa", "93cfd60f705bc0d37993fb0a96cdebae1e1fe2c64edd5f2e1069f308eea4a70b", "SHA256", "Special Floors ApS", "Sectigo Public Code Signing CA R36", "2021-07-27T00:00:00Z", "2022-07-27T23:59:59Z", "ParallaxRAT"
"2021-08-05 14:38:12", "016558f3759ab455d5497251c51ff8f6", "484c210301f9f02e0836160d51d7a634dc177c5043adaf6d7a5dbc84e28ab7f1", "SHA256", "GetScatter Ltd.", "DigiCert EV Code Signing CA (SHA2)", "2019-07-01T00:00:00Z", "2022-07-06T12:00:00Z", "NetSupport"
"2021-08-05 14:38:08", "025020668f51235e9ecfff8cf00da63e", "c3692225dad4b5b1ff909f3a769cd913f644a93b1953e149cfd612848af02007", "SHA256", "Knassar DK ApS", "DigiCert EV Code Signing CA (SHA2)", "2021-03-04T00:00:00Z", "2022-03-09T23:59:59Z", "NetSupport"
"2021-08-05 14:38:05", "0e8aa328af207ce8bcae1dc15c626188", "226d9c5f4ee36d6d47013f2cadbc98e19b2a1b62acb0a0db1d5795dddddd1521", "SHA256", "PRO SAT SRL", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-07-27T00:00:00Z", "2023-07-27T23:59:59Z", "NetSupport"
"2021-08-05 14:36:47", "bdb99d5ecf8271d48e35f1039c2160ef", "ddaa6ebc2929dc4c12c13d329ca2eb2559c35887e3bbb015b91c8aef12ed5531", "SHA256", "Gavrilov Andrei Alekseevich", "Sectigo RSA Code Signing CA", "2019-07-09T00:00:00Z", "2024-07-08T23:59:59Z", "NetSupport"
"2021-08-02 12:41:50", "670c3494206b9f0c18714fdcffaaa42f", "5e278ee395cbc112b84a22c8c207ed60f5f507407b6452a89b0ec9acfa2dd166", "SHA256", "ADRIATIK PORT SERVIS, d.o.o.", "Sectigo RSA Code Signing CA", "2021-05-28T00:00:00Z", "2022-05-28T23:59:59Z", "Malware"
"2021-07-29 15:38:18", "0400c7614f86d75fe4ee3f6192b6feda", "64cd94f7ed9b7ba8f7d58445c0b9d9823d37782cc3500d359b86c4a3b091d5b8", "SHA256", "StackUp ApS", "DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1", "2021-07-16T00:00:00Z", "2022-07-19T23:59:59Z", "CobaltStrike"
"2021-07-27 14:59:57", "be8e91ba93724ac74b5a862afcd34077", "61e568a29b27db36f7af948c3470acdd0834bacc975b0d514a36e9de6ac5416f", "SHA256", "A-LINE PIPE TOOLS INC.", "Sectigo RSA Code Signing CA", "2021-05-19T00:00:00Z", "2022-05-19T23:59:59Z", "ParallaxRAT"
